ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
68.69,70.61,0.0,0.0,3002.84,35.78,3979.94,95.6
27.64,70.91,0.0,0.0,2989.67,35.82,3971.5,95.9
80.13,71.22,0.0,0.0,3036.97,35.82,3989.18,95.39
94.44,71.53,0.0,0.0,3008.08,35.84,3977.63,95.62
54.95,71.84,0.0,0.0,3029.11,35.84,3989.97,95.86
33.3,72.14,0.0,0.0,3026.49,35.91,3970.71,96.04
68.69,72.45,0.0,0.0,3034.35,35.91,3983.8,95.95
62.97,72.76,0.0,0.0,3021.25,35.91,3978.43,96.02
32.44,73.07,0.0,0.0,3023.87,35.94,3977.63,96.98
129.74,73.39,0.0,0.0,3008.08,35.94,3963.78,96.25
109.9,73.7,0.0,0.0,3029.11,35.97,3975.32,97.23
29.83,74.01,0.0,0.0,3036.97,36.01,3969.15,97.26
29.06,74.33,0.0,0.0,3042.28,36.03,3965.33,98.44
61.05,74.63,0.0,0.0,3034.35,36.07,3954.54,97.35
33.32,74.95,0.0,0.0,3044.9,36.09,3966.84,98.63
25.56,75.25,0.0,0.0,3021.25,36.14,3956.09,98.61
66.67,75.57,0.0,0.0,3044.9,36.14,3966.09,97.95
40.7,75.87,0.0,0.0,3050.14,36.16,3958.37,97.77
45.33,76.18,0.0,0.0,3055.38,36.16,3967.6,98.37
45.33,76.49,0.0,0.0,3044.9,36.18,3959.92,98.7
28.92,76.8,0.0,0.0,3018.56,36.18,3946.86,98.26
53.97,77.11,0.0,0.0,3008.08,36.2,3949.92,96.65
49.27,77.42,0.0,0.0,3015.94,36.2,3937.58,96.7
41.5,77.77,0.0,0.0,2929.2,36.92,3864.34,88.0
27.8,78.09,0.0,0.0,2918.72,36.96,3870.47,85.14
0.0,78.67,0.0,0.0,137.49,37.11,0.0,34.46
158.84,78.98,0.0,0.0,3023.87,36.96,3925.17,102.03
130.5,79.28,0.0,0.0,3015.94,36.98,3925.17,102.94
145.01,79.64,0.0,0.0,3029.11,37.01,3916.69,102.64
84.54,79.95,0.0,0.0,3031.73,37.07,3917.48,100.87
20.42,80.31,0.0,0.0,2997.53,37.26,3918.24,99.26
21.38,80.63,0.0,0.0,3060.62,37.39,3945.91,97.88
26.47,80.98,0.0,0.0,3039.59,37.47,3950.53,97.02
78.23,81.3,0.0,0.0,3076.41,37.47,3955.15,95.83
92.46,81.64,0.0,0.0,3047.52,37.52,3959.77,94.83
115.52,81.99,0.0,0.0,3081.65,37.52,3961.28,94.39
75.56,82.31,0.0,0.0,3060.62,37.53,3968.21,94.58
40.19,82.62,0.0,0.0,3097.44,37.53,3975.93,93.99
49.95,82.93,0.0,0.0,3065.93,37.56,3972.83,92.76
18.21,83.25,0.0,0.0,3076.41,37.58,3953.6,90.8
45.34,83.57,0.0,0.0,3047.52,37.58,3952.84,89.99
36.71,83.88,0.0,0.0,3058.0,37.58,3952.08,86.05
26.71,84.19,0.0,0.0,3002.84,37.71,3925.09,84.49
41.98,84.51,0.0,0.0,3031.73,37.74,3938.95,86.09
46.23,84.82,0.0,0.0,3034.35,37.79,3923.58,85.42
22.68,85.15,0.0,0.0,2994.91,37.83,3904.35,82.44
40.7,85.46,0.0,0.0,2992.29,37.86,3902.8,82.27
48.66,85.78,0.0,0.0,3008.08,37.86,3915.89,82.6
77.27,86.12,0.0,0.0,3000.22,37.83,3883.57,78.78
72.98,86.45,0.0,0.0,2968.64,37.77,3872.78,80.71
37.9,86.75,0.0,0.0,2944.99,37.92,3866.61,80.48
50.77,87.08,0.0,0.0,2944.99,37.92,3851.2,79.71
17.74,87.38,2757.37,0.0,3121.09,37.81,3925.92,94.6
70.71,87.69,1650.79,0.0,3134.26,37.86,3935.12,95.02
39.08,88.01,1927.44,0.0,3105.37,37.94,3941.29,96.56
34.34,88.33,3310.66,0.0,3115.85,38.0,3945.91,95.65
95.11,88.67,3900.23,0.0,3131.64,38.04,3942.85,95.18
35.42,88.99,14689.34,0.0,3139.5,38.11,3945.91,93.41
43.96,89.29,4140.59,0.0,3144.74,38.15,3955.9,92.5
61.06,89.6,4072.56,0.0,3136.88,38.15,3949.77,90.64
79.42,89.93,5696.15,0.0,3134.26,38.15,3953.6,90.59
40.3,90.29,16938.78,0.0,3184.18,38.19,3975.13,89.96
24.98,90.59,6802.72,0.0,3176.32,38.23,3971.31,85.05
42.63,90.94,12371.88,0.0,3152.67,38.23,3970.52,82.39
77.85,91.26,7981.86,0.0,3150.05,38.23,3957.46,82.11
43.82,91.61,14344.67,0.0,3168.46,38.23,3964.38,83.79
30.63,91.93,3034.01,0.0,3152.67,38.23,3952.84,81.88
22.9,92.23,3691.61,0.0,3129.02,38.23,3960.52,81.43
27.62,92.55,14172.34,0.0,3123.71,38.21,3953.6,81.5
28.18,92.85,5977.32,0.0,3107.99,38.23,3950.53,82.85
28.62,93.19,10607.71,0.0,3123.71,38.23,3962.08,84.09
35.45,93.49,12371.88,0.0,3118.47,38.26,3952.84,85.58
40.78,93.83,16208.62,0.0,3150.05,38.26,3968.25,84.81
33.36,94.15,10675.74,0.0,3113.23,38.28,3963.59,83.67
35.32,94.47,4693.88,0.0,3110.61,38.32,3952.84,86.54
78.23,94.81,4176.87,0.0,3110.61,38.3,3960.52,88.38
33.33,95.12,2689.34,0.0,3118.47,38.34,3959.01,87.52
94.44,95.44,3138.32,0.0,3071.17,38.36,3938.19,86.79
61.46,95.76,1823.13,0.0,3110.61,38.38,3945.91,86.7
122.11,96.07,9469.39,0.0,3102.68,38.38,3945.15,86.12
80.14,96.4,4798.19,0.0,3107.99,38.41,3948.22,87.17
63.53,96.75,6181.41,0.0,3121.09,38.43,3955.9,85.58
32.33,97.06,7183.67,0.0,3123.71,38.47,3953.6,85.28
24.76,97.38,5351.47,0.0,3089.58,38.57,3954.39,84.81
0.0,98.18,8086.17,0.0,3118.47,38.59,3945.91,86.23
28.59,98.56,10435.37,0.0,3115.85,38.64,3938.98,87.33
34.1,98.86,14897.96,0.0,3102.68,38.72,3932.06,89.03
16.07,99.17,11129.25,0.0,3084.34,38.81,3933.57,88.17
23.81,99.49,10122.45,0.0,3084.34,38.85,3932.02,87.33
38.05,99.82,8671.2,0.0,3126.4,38.91,3952.08,87.0
38.4,99.95,5904.76,0.0,3068.55,40.1,3825.8,67.38
21.06,100.27,3936.51,0.0,3089.58,40.06,3835.04,67.91
78.63,100.6,1133.79,0.0,3060.62,40.03,3829.62,67.41
62.48,100.91,8984.13,0.0,3081.65,40.03,3845.03,68.43
21.44,101.22,1170.07,0.0,3081.65,39.97,3848.89,68.99
22.39,101.52,1823.13,0.0,3089.58,39.93,3840.41,68.96
74.98,101.83,5283.45,0.0,3068.55,39.93,3824.25,66.76
44.98,102.15,1895.69,0.0,3076.41,39.93,3825.04,69.55
48.53,102.49,5247.17,0.0,3089.58,39.95,3821.18,72.09
45.72,102.83,5351.47,0.0,3052.76,39.93,3820.39,69.69
34.91,103.15,2517.01,0.0,3044.9,39.93,3804.22,70.95
70.29,103.47,12199.55,0.0,3015.94,39.95,3797.3,70.22
10.55,103.77,2099.77,0.0,2994.91,40.01,3818.12,69.93
90.73,104.09,5215.42,0.0,3029.11,40.01,3815.81,68.64
67.05,104.43,6113.38,0.0,3005.46,40.29,3788.85,69.34
26.79,104.75,3174.6,0.0,3018.56,40.31,3786.55,67.14
36.86,105.08,4489.8,0.0,3081.65,40.33,3862.67,72.15
156.75,105.39,408.16,0.0,2779.37,40.76,3588.91,66.85
242.27,107.3,0.0,100.58,3176.32,40.27,3968.85,60.35
263.33,107.61,4789.12,109.68,3213.14,40.29,3954.88,60.18
219.44,108.27,11324.26,92.26,3178.94,40.29,3947.16,58.68
152.14,108.57,11981.86,89.18,3226.24,40.29,3954.88,58.92
161.6,108.9,4684.81,97.19,3215.76,40.29,3957.99,57.16
37.85,109.24,498.87,87.95,3181.56,40.23,3949.47,65.86
137.52,109.58,7659.86,71.04,3202.59,40.27,3950.26,66.27
131.66,109.95,12952.38,74.19,3234.17,40.24,3961.85,66.21
94.55,110.6,0.0,68.02,3129.02,40.57,3959.54,59.04
40.79,110.91,1641.72,98.08,3173.7,40.58,3944.81,60.09
114.11,111.23,10634.92,80.28,3215.76,40.58,3957.95,59.83
23.11,111.55,12417.23,41.31,1551.79,40.18,2790.83,51.26
15.43,111.85,12140.59,70.26,1520.21,40.18,2797.8,53.05
32.42,112.16,1419.5,49.12,2206.33,40.1,3200.03,59.69
29.86,112.48,5746.03,46.87,2253.63,40.08,3227.93,58.49
10.55,112.79,2249.43,72.99,2245.77,40.1,3257.42,61.95
38.88,113.1,9201.81,93.46,2237.84,40.12,3248.9,62.53
39.13,113.42,9342.4,88.0,2248.39,40.12,3255.87,62.59
30.02,113.72,12385.49,84.25,2256.25,40.12,3265.94,59.99
25.24,114.03,8612.24,81.56,2253.63,40.12,3258.94,58.79
34.08,114.36,6299.32,73.9,2261.49,40.14,3260.53,59.05
30.48,116.12,2875.28,79.27,2258.87,40.12,3272.11,59.02
26.52,116.5,0.0,76.1,2182.68,40.37,3134.7,53.66
13.09,116.81,3319.73,114.54,2321.96,40.35,3226.3,57.41
23.75,117.13,6018.14,84.64,2329.89,40.35,3231.72,57.76
34.21,117.45,5877.55,111.16,2335.13,40.35,3237.13,57.97
40.71,117.77,7573.7,102.8,2329.89,40.35,3223.2,57.32
50.46,118.08,7814.06,88.36,2319.34,40.37,3222.41,57.76
51.58,118.39,1142.86,122.9,2356.16,40.37,3226.3,57.53
75.98,118.7,6226.76,111.95,2319.34,40.37,3213.13,58.73
42.94,119.02,8335.6,109.6,2348.3,40.37,3232.48,59.08
56.99,119.33,8231.29,115.34,2329.89,40.39,3210.03,60.01
51.58,119.64,6154.2,100.11,2342.99,40.39,3221.65,60.51
38.5,119.95,3387.76,89.28,2332.51,40.42,3228.61,60.01
29.08,120.27,6811.79,72.96,2342.99,40.48,3228.61,60.48
29.38,120.59,2938.78,78.88,2356.16,40.46,3230.17,59.17
29.23,120.9,7573.7,72.74,2337.75,40.5,3228.61,59.52
37.99,121.21,3804.99,75.52,2321.96,40.52,3231.0,59.52
31.01,121.52,6226.76,77.11,2482.34,40.52,3347.44,61.8
28.37,121.84,4081.63,80.98,2332.51,40.54,3215.44,59.11
